Id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,age_group,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
159,Roberto,Harme,Male,27,6/11/1951,72,Old,Environmental Tech,n/a,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,158,1.1875
160,Nichole,Leisman,Male,37,8/7/1986,37,Young,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.1875
161,Amil,Ennor,Female,23,8/4/1995,28,Young,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.1875
162,Shawna,Hinrichsen,Female,60,8/27/1969,54,Middle Age,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.18203125
163,Fonsie,Levane,Male,96,7/10/1951,72,Old,Account Representative III,n/a,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,163,1.18203125
164,Emilie,Brody,Female,3,5/22/1979,44,Middle Age,Director of Sales,n/a,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,163,1.18203125
165,Robert,Corkill,Male,55,3/12/1976,47,Middle Age,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,166,1.175
166,Elvira,Kurten,Female,65,3/18/1973,50,Middle Age,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,166,1.175
167,Juliana,Mitchenson,Female,55,1/5/1989,34,Young,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,166,1.175
168,Regine,Bownes,Female,99,7/1/1952,71,Old,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,166,1.175
169,Abner,Fraschetti,Male,33,1/23/1986,37,Young,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,166,1.175
170,Alvira,Coulman,Female,42,6/5/1955,68,Old,Account Representative II,n/a,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,166,1.175
171,Sawyer,Sponton,Male,36,2/22/1956,67,Old,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,166,1.175
172,Feodor,Vickers,Male,60,11/18/1989,33,Young,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,173,1.171875
173,Paten,Cayet,Male,56,2/19/1995,28,Young,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,174,1.16875
174,Loria,Tappington,Female,72,9/6/1955,68,Old,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,174,1.16875
175,Tanya,Kiefer,Female,54,7/5/1992,31,Young,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,174,1.16875
176,Devonne,Alderwick,Female,79,1/29/1939,84,Very Old,Research Associate,n/a,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,Australia,7,177,1.1625
177,Omero,McDonand,Male,51,4/1/1952,71,Old,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9,177,1.1625
178,Iain,Haversham,Male,92,12/26/1950,72,Old,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,177,1.1625
179,Keriann,Newham,Female,71,3/26/1975,48,Middle Age,Assistant Manager,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,QLD,Australia,9,177,1.1625
180,Conroy,Rappaport,Male,39,1/8/1965,58,Middle Age,Assistant Manager,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,NSW,Australia,9,181,1.158125
181,Dorian,Rustman,Male,78,12/9/1974,48,Middle Age,Junior Executive,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,QLD,Australia,7,181,1.158125
182,Quillan,Guinane,Male,36,3/24/1946,77,Old,Community Outreach Specialist,n/a,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,Australia,8,181,1.158125
183,Harlin,Mazin,Male,34,3/25/1974,49,Middle Age,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,NSW,Australia,7,181,1.158125
184,Eustacia,Dornan,Female,68,9/2/1985,38,Young,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,181,1.158125
185,Maury,Galego,Male,65,7/27/1992,31,Young,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,181,1.158125
186,Reggie,Kernar,Female,26,11/28/1971,51,Middle Age,Senior Editor,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,NSW,Australia,10,181,1.158125
187,Brigitte,Whellams,Female,67,5/9/1973,50,Middle Age,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,188,1.15625
188,Kinna,Kollasch,Female,7,11/9/1986,36,Young,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,188,1.15625
189,Maurizio,Comi,Male,74,5/30/1996,27,Young,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,190,1.15546875
190,Elbertina,Fendley,Female,32,3/27/1992,31,Young,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,191,1.15
191,Franklin,Wohler,Male,55,10/16/1938,84,Very Old,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,191,1.15
192,Allyson,Petchell,Female,16,3/19/1970,53,Middle Age,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,191,1.15
193,Ermentrude,Heindle,Female,47,8/2/1969,54,Middle Age,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,NSW,Australia,10,191,1.15
194,Alanna,Lerway,Female,26,1/5/1944,79,Old,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,195,1.1475
195,Vincent,Jopke,Male,6,3/10/1972,51,Middle Age,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,VIC,Australia,3,195,1.1475
196,Mandie,Jeffryes,Female,60,2/16/1981,42,Middle Age,Business Systems Development Analyst,n/a,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,195,1.1475
197,Collete,Dory,Female,66,1/9/1990,33,Young,Information Systems Manager,n/a,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,195,1.1475
198,Leonid,Dorricott,Male,44,11/18/1993,29,Young,Environmental Tech,n/a,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,195,1.1475
199,Charlena,Berney,Female,55,1/2/1966,57,Middle Age,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,QLD,Australia,4,195,1.1475
200,Alfonso,Massel,Male,70,12/5/1940,82,Very Old,,n/a,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,201,1.1421875
201,Engracia,Dobbs,Female,84,4/19/1959,64,Old,,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,202,1.140625
202,Glyn,,Male,47,2/13/1945,78,Old,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,202,1.140625
203,Rosemonde,Cartwight,Female,44,10/20/1952,70,Old,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,Australia,1,202,1.140625
204,Alano,Satchel,Male,2,11/26/1998,24,Young,Recruiting Manager,n/a,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,202,1.140625
205,Corrine,Baribal,Female,19,10/12/1948,74,Old,Senior Sales Associate,n/a,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,206,1.1375
206,Benoit,Harniman,Male,31,8/27/1976,47,Middle Age,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,1582 Bashford Drive,4018,QLD,Australia,7,206,1.1375
207,Jeanne,Darte,Female,70,8/18/1955,68,Old,,n/a,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,Australia,7,206,1.1375
208,Jenelle,Fearnill,Female,12,1/3/1958,65,Old,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,Australia,9,206,1.1375
209,Tannie,Gambrell,Male,92,5/25/1967,56,Middle Age,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,QLD,Australia,4,206,1.1375
210,Mick,Macewan,Male,32,12/12/1967,55,Middle Age,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,59254 Northland Alley,2032,NSW,Australia,10,206,1.1375
211,Abbie,Oldman,Male,82,11/26/1983,39,Young,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,212,1.136875
212,Tabbie,Curner,Male,12,3/13/1997,26,Young,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,212,1.136875
213,Shane,Killen,Male,28,10/16/1956,66,Old,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,212,1.136875
214,Roberta,Goodale,Female,9,2/28/1947,76,Old,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,215,1.12890625
215,Kippy,Barabisch,Male,11,4/7/2000,23,Young,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,215,1.12890625
216,Rosalinde,Cubuzzi,Female,50,9/4/1997,26,Young,Business Systems Development Analyst,n/a,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,215,1.12890625
217,Cami,Barnbrook,Female,8,1/1/1963,60,Old,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,QLD,Australia,2,218,1.12625
218,Dorian,Stollen,Male,78,2/16/1980,43,Middle Age,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,219,1.125
219,Hunfredo,Hayball,Male,7,4/15/1994,29,Young,,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,219,1.125
220,Giorgi,O'Shirine,Male,68,6/20/1981,42,Middle Age,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8,219,1.125
221,Kort,Disley,Male,66,2/5/1979,44,Middle Age,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9,219,1.125
222,Gretna,Thredder,Female,62,1/8/1966,57,Middle Age,,n/a,Mass Customer,N,No,18,1607 Westridge Drive,2203,NSW,Australia,11,223,1.115625
223,Tobiah,Heinsius,Male,66,1/25/2000,23,Young,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,223,1.115625
224,Wallace,Newart,Male,91,12/6/1977,45,Middle Age,,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,223,1.115625
225,Hersh,Stubbert,Male,0,6/25/2000,23,Young,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,226,1.1125
226,Wyn,Saynor,Male,54,6/22/1964,59,Middle Age,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,NSW,Australia,9,226,1.1125
227,Maribeth,Stivani,Female,46,11/13/1954,68,Old,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8,226,1.1125
228,Abigale,Sives,Female,48,12/13/1963,59,Middle Age,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,QLD,Australia,4,230,1.109375
229,Gothart,Artus,Male,52,5/31/1978,45,Middle Age,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,231,1.105
230,Danny,Bodle,Male,50,9/24/1943,79,Old,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9,231,1.105
231,Vittorio,Boxen,Male,94,8/15/1965,58,Middle Age,Mechanical Systems Engineer,n/a,Mass Customer,N,No,14,3 Anthes Court,2148,NSW,Australia,9,233,1.1
232,Deborah,Petrovsky,Female,53,7/14/1943,80,Very Old,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7,233,1.1
233,Agace,Hedge,Female,25,7/23/1997,26,Young,Media Manager II,n/a,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,233,1.1
234,Rolland,Esmead,Male,41,7/13/1940,83,Very Old,,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,233,1.1
235,Latrena,Walklate,Female,97,10/5/1943,79,Old,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,237,1.094375
236,Mariquilla,Springthorpe,Female,30,4/4/1939,84,Very Old,Director of Sales,n/a,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,237,1.094375
237,Leticia,Danovich,Female,84,10/2/1941,81,Very Old,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,237,1.094375
238,Harman,Lynds,Male,4,5/27/1961,62,Old,Professor,n/a,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,240,1.09
239,Farra,Matyushkin,Female,18,1/24/1974,49,Middle Age,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,241,1.0875
240,Robenia,Monks,Female,94,5/8/1959,64,Old,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,241,1.0875
241,Roman,Eastwood,Male,57,9/21/1969,53,Middle Age,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,241,1.0875
242,Solomon,Bruck,Male,29,11/15/1957,65,Old,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,244,1.08375
243,Krystyna,Airey,Female,2,9/5/1950,73,Old,Safety Technician II,n/a,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,244,1.08375
244,Katharine,Redbourn,Female,8,9/11/1967,56,Middle Age,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,244,1.08375
245,Cammy,Stoneham,Female,74,5/2/1963,60,Old,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3,244,1.08375
246,Ellsworth,Andrieux,Male,49,4/26/1971,52,Middle Age,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,248,1.078125
247,Federico,Leuty,Male,59,12/11/1978,44,Middle Age,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,249,1.07578125
248,Ferdy,Hornung,Male,57,5/14/1974,49,Middle Age,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,QLD,Australia,3,250,1.075
249,Sunny,Christescu,Female,90,3/12/1975,48,Middle Age,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,250,1.075
250,Shadow,Yakutin,Male,85,2/3/1967,56,Middle Age,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2,252,1.073125
251,Sharai,Priddie,Female,13,1/16/1961,62,Old,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9,252,1.073125
252,Celeste,Fretson,Female,91,9/16/1980,42,Middle Age,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9,252,1.073125
253,Lea,Ilyinski,Female,75,9/25/1997,25,Young,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,252,1.073125
254,Dyann,Olechnowicz,Female,17,7/17/1939,84,Very Old,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10,252,1.073125
255,Delly,Sunman,Female,49,4/11/1959,64,Old,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12,252,1.073125
256,Malvin,Ryhorovich,Male,37,3/3/1962,61,Old,Quality Control Specialist,n/a,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,252,1.073125
257,Tanya,Hamberston,Female,45,9/25/2000,22,Young,Product Engineer,n/a,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,259,1.0625
258,Kaela,Romaines,Female,41,11/27/1971,51,Middle Age,Geological Engineer,Manufacturing,High Net Worth,N,No,19,9193 Prairieview Drive,2155,NSW,Australia,10,259,1.0625
259,Evonne,Bembridge,Female,9,7/6/1969,54,Middle Age,Recruiting Manager,Retail,Mass Customer,N,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9,259,1.0625
260,Shannen,Lewin,Female,21,6/7/1991,32,Young,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6,259,1.0625
261,Bogey,Attew,Male,88,11/18/1992,30,Young,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9,259,1.0625
262,Zondra,Ringham,Female,36,1/13/1948,75,Old,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,259,1.0625
263,Barnebas,Apfel,Male,57,2/19/1996,27,Young,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6,259,1.0625
264,Alleen,Eaken,Female,56,8/31/1938,85,Very Old,,n/a,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,Australia,12,259,1.0625
265,Gerri,Schimann,Female,81,11/17/1969,53,Middle Age,Desktop Support Technician,Property,Mass Customer,N,Yes,18,47 Kim Terrace,2566,NSW,Australia,8,259,1.0625
266,Antonietta,Egle,Female,82,9/25/1973,49,Middle Age,Actuary,Financial Services,Mass Customer,N,No,7,590 Hagan Parkway,3805,VIC,Australia,7,259,1.0625
267,Raff,Waycott,Male,70,12/16/1951,71,Old,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,259,1.0625
268,Lark,Gonet,Female,89,1/17/1972,51,Middle Age,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,NSW,Australia,8,259,1.0625
269,Cletis,Longley,Male,84,7/1/1996,27,Young,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,271,1.06
270,Bartram,Di Lucia,Male,70,1/3/1961,62,Old,,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,271,1.06
271,Theresa,Cowper,Female,99,8/24/1976,47,Middle Age,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,NSW,Australia,10,271,1.06
272,Philbert,Raraty,Male,48,6/28/1956,67,Old,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,Australia,9,274,1.051875
273,Egon,Ortells,Male,35,6/11/1976,47,Middle Age,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,NSW,Australia,9,274,1.051875
274,Dahlia,Shovlar,Female,90,3/7/1966,57,Middle Age,Environmental Specialist,n/a,Affluent Customer,N,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,274,1.051875
275,Timi,Duny,Female,70,3/12/1953,70,Old,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,Australia,12,274,1.051875
276,Dominick,Asher,Male,50,10/6/1962,60,Old,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9,278,1.05
277,Raye,Roo,Female,64,3/7/1976,47,Middle Age,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,278,1.05
278,Becka,Hacon,Female,81,7/3/1965,58,Middle Age,General Manager,Financial Services,Affluent Customer,N,No,17,1 Namekagon Point,3791,VIC,Australia,9,278,1.05
279,Cirillo,Frossell,Male,7,10/14/1968,54,Middle Age,Graphic Designer,n/a,Mass Customer,N,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,278,1.05
280,Verla,Dumingos,Female,26,9/18/1971,51,Middle Age,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,6784 Spohn Alley,3021,VIC,Australia,8,282,1.04921875
281,Sherrie,Godleman,Female,37,4/2/1978,45,Middle Age,Associate Professor,Manufacturing,Mass Customer,N,No,19,67 Shelley Crossing,3350,VIC,Australia,2,282,1.04921875
282,Dexter,Shutle,Male,81,1/5/1959,64,Old,Quality Control Specialist,n/a,Mass Customer,N,No,17,07 Dayton Court,4005,QLD,Australia,7,284,1.046875
283,Konstanze,Hovie,Female,88,1/9/1967,56,Middle Age,Pharmacist,Health,Mass Customer,N,No,11,351 Sunfield Lane,4370,QLD,Australia,7,285,1.04125
284,Bink,Bentje,Male,3,3/23/1957,66,Old,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,285,1.04125
285,Taber,Szymon,Male,70,4/22/1947,76,Old,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,QLD,Australia,8,287,1.04
286,Debbi,Dannatt,Female,2,12/28/1958,64,Old,Technical Writer,n/a,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,287,1.04
287,Giana,Staresmeare,Female,96,4/20/1976,47,Middle Age,Account Representative IV,Retail,Affluent Customer,N,Yes,9,8737 Scoville Center,2770,NSW,Australia,7,289,1.0375
288,Morton,Petkens,Male,50,11/13/1990,32,Young,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,VIC,Australia,1,289,1.0375
289,Vittoria,Whitney,Female,95,6/3/1981,42,Middle Age,Research Assistant I,n/a,High Net Worth,N,No,12,3 Surrey Court,2019,NSW,Australia,11,291,1.0359375
290,Paquito,Atwood,Male,15,7/30/1972,51,Middle Age,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,2 Magdeline Street,3199,VIC,Australia,8,291,1.0359375
291,Dimitri,Tribbeck,Male,89,12/7/1958,64,Old,Chief Design Engineer,n/a,Affluent Customer,N,No,20,93235 Hoard Trail,3165,VIC,Australia,6,291,1.0359375
292,Shelli,Bartholomaus,Female,88,5/11/1963,60,Old,Associate Professor,Health,Mass Customer,N,Yes,6,356 Carberry Avenue,3082,VIC,Australia,7,291,1.0359375
293,Kermit,Lebond,Male,36,2/1/1980,43,Middle Age,Financial Advisor,Financial Services,Mass Customer,N,No,4,71 Ludington Center,4208,QLD,Australia,8,295,1.03125
294,Biddie,Gorce,Female,68,1/30/1988,35,Young,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,295,1.03125
295,Rupert,Marrow,Male,73,8/8/1970,53,Middle Age,,Property,High Net Worth,N,No,19,2 7th Way,2760,NSW,Australia,8,297,1.030625
296,Geoff,Sitford,Male,97,2/27/1965,58,Middle Age,Account Executive,Financial Services,Mass Customer,N,Yes,4,7 Elgar Road,2148,NSW,Australia,8,297,1.030625
297,Ange,Chitham,Female,91,2/14/1991,32,Young,,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,297,1.030625
298,Tiphanie,Blackader,Female,59,10/8/1947,75,Old,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11,297,1.030625
299,Zollie,Crinidge,Male,39,1/10/1988,35,Young,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,297,1.030625
300,Daisy,Pollen,Female,97,8/9/1993,30,Young,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,VIC,Australia,9,302,1.03
301,Emelen,Bidnall,Male,79,8/5/1981,42,Middle Age,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,11 Oak Terrace,2026,NSW,Australia,12,302,1.03
302,Linette,Boman,Female,56,5/20/1949,74,Old,Account Executive,n/a,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,Australia,11,304,1.025
303,Manya,Abramovici,Female,42,7/17/1955,68,Old,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,QLD,Australia,8,304,1.025
304,Brynna,Tivers,Female,81,8/9/1974,49,Middle Age,Recruiting Manager,Financial Services,Mass Customer,N,No,6,0 Mayfield Parkway,4272,QLD,Australia,7,304,1.025
305,Art,Carolan,Male,1,11/9/1954,68,Old,Marketing Manager,n/a,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,304,1.025
306,Alfi,Sabbins,Female,63,6/12/1959,64,Old,,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,304,1.025
307,Loleta,Aberdalgy,Female,45,2/15/1981,42,Middle Age,Occupational Therapist,Health,Mass Customer,N,No,11,99 Westend Court,2287,NSW,Australia,6,304,1.025
308,Aldric,Birney,Male,21,8/19/1971,52,Middle Age,,Manufacturing,Mass Customer,N,Yes,14,5 Caliangt Center,2546,NSW,Australia,6,310,1.02265625
309,Natividad,Balducci,Female,39,2/7/1991,32,Young,,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,310,1.02265625
310,Claudine,Dymick,Female,28,12/13/1965,57,Middle Age,Design Engineer,Health,Mass Customer,N,No,5,31675 Corry Way,3977,VIC,Australia,5,312,1.02
311,Seamus,Cains,Male,61,12/15/1989,33,Young,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,NSW,Australia,8,312,1.02
312,Guss,Karim,Male,95,11/24/1968,54,Middle Age,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,4 Warner Circle,2227,NSW,Australia,11,312,1.02
313,Julietta,Setchfield,Female,73,1/31/1992,31,Young,Operator,n/a,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,312,1.02
314,Roch,Symson,Female,96,5/13/1978,45,Middle Age,Office Assistant I,Manufacturing,High Net Worth,N,No,18,016 Westport Park,3073,VIC,Australia,9,312,1.02
315,Audry,Fann,Female,3,10/17/1957,65,Old,Pharmacist,Health,Mass Customer,N,Yes,15,19 Debs Parkway,3029,VIC,Australia,6,312,1.02
316,Cecelia,Cisar,Female,20,3/26/1985,38,Young,,Property,Mass Customer,N,Yes,15,665 Sachs Way,4212,QLD,Australia,7,312,1.02
317,Clari,Voas,Female,74,7/28/1955,68,Old,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,312,1.02
